Position,Job URL,Job ID,Job Title,Company URL,Company ID,Company Logo,Company Name,Location,Work Type,Posted Date,Response Time
26,https://www.linkedin.com/jobs/view/3577483908/,3577483908,Analyste et Certificateur de données H/F,https://www.linkedin.com/company/abeilleassurances/,76240305,https://media.licdn.com/dms/image/v2/D4E0BAQEtauN95bVn0w/company-logo_400_400/company-logo_400_400/0/1719786974734/abeilleassurances_logo?e=1740614400&v=beta&t=cnH54eluGe0zhdBge39ap3PcBi4HFrmTHMxPrfcSiQo,Abeille Assurances,"Bois-Colombes, Île-de-France, France",Hybrid,20/11/2024,
27,https://www.linkedin.com/jobs/view/4080243560/,4080243560,Data Analyst F/H,https://www.linkedin.com/company/cgi/,1415,https://media.licdn.com/dms/image/v2/C4E0BAQErzXWSFkn9tQ/company-logo_400_400/company-logo_400_400/0/1663664110809/cgi_logo?e=1740614400&v=beta&t=sdivXHvilP3n4GKvHv65I8o-21o8PM0SFIkMCr3GWzc,CGI,"Niort, Nouvelle-Aquitaine, France",Hybrid,19/11/2024,13 connections work here
28,https://www.linkedin.com/jobs/view/4079516415/,4079516415,Data Analyst / Head of Pricing (BigQuery),https://www.linkedin.com/company/labourseauxlivres/,15774792,https://media.licdn.com/dms/image/v2/C4D0BAQFctUosvMSm8A/company-logo_400_400/company-logo_400_400/0/1630474988947/labourseauxlivres_logo?e=1740614400&v=beta&t=cfjH3iZnRde674Re6KhuvbvSuzIdPxpaK5rxDL_ngt8,La Bourse aux Livres,"Paris, Île-de-France, France",Hybrid,18/11/2024,Response time is typically 1-2 weeks
29,https://www.linkedin.com/jobs/view/4052969064/,4052969064,STAGE DE 4 MOIS « INTELLIGENCE DES DONNEES » COMPETENCE DATA ANALYST POUR ETUDES DE MARCHE H/F,https://www.linkedin.com/company/cea/,162942,https://media.licdn.com/dms/image/v2/C4E0BAQEPVql0weI3Qg/company-logo_400_400/company-logo_400_400/0/1677003044696/cea_logo?e=1740614400&v=beta&t=j2S6BfRsNYjdyyZi8cvGiPL7hRmykxpyCLzz8qUxpgo,CEA,"Grenoble, Auvergne-Rhône-Alpes, France",Remote,08/11/2024,2 connections work here
30,https://www.linkedin.com/jobs/view/3970771201/,3970771201,DATA & PROCESS ANALYST (H/F) - Paris,https://www.linkedin.com/company/bpce-solutions-informatiques/,79482948,https://media.licdn.com/dms/image/v2/D4E0BAQFgBW0lBb9BAw/company-logo_400_400/company-logo_400_400/0/1718386875950/bpce_solutions_informatiques_logo?e=1740614400&v=beta&t=BZxNVmikuGxfPQ4RpHp11t5DUSPZ0yzp_Qbn3ADBjXo,BPCE Solutions informatiques,"Paris, Île-de-France, France",Hybrid,13/11/2024,3 connections work here
31,https://www.linkedin.com/jobs/view/3776655773/,3776655773,Consultant Risk Data Analyst / Data Scientist (H/F),https://www.linkedin.com/company/deloitte/,1038,https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_400_400/company-logo_400_400/0/1662120928214/deloitte_logo?e=1740614400&v=beta&t=txlI3yEY2bKmtpRz5U__L23VMbrALcqLPJSh89ethqo,Deloitte,"La Défense, Île-de-France, France",Hybrid,19/11/2024,4 school alumni work here
32,https://www.linkedin.com/jobs/view/4074530927/,4074530927,Data Analyst Senior (H/F),https://www.linkedin.com/company/tessan/,18991172,https://media.licdn.com/dms/image/v2/D4E0BAQEDqEtJeNrdHQ/company-logo_400_400/company-logo_400_400/0/1727795654622/tessan_logo?e=1740614400&v=beta&t=3ohzq1dOBOMCjKJo8nK_wfa8ELYT7W7u4JSeaVuYR2M,TESSAN,"Paris, Île-de-France, France",Hybrid,14/11/2024,
33,https://www.linkedin.com/jobs/view/4075716252/,4075716252,Consultant Web Analytics et CRO H/F,https://www.linkedin.com/company/about-data/,15234878,https://media.licdn.com/dms/image/v2/C4E0BAQEYHz4mQ0BGfw/company-logo_400_400/company-logo_400_400/0/1631307757636?e=1740614400&v=beta&t=yP3PPFdZe71Rdth4FMYiipLD6oHHa-lzkuuQ3zMbWXk,About Data,"Île-de-France, France",Hybrid,13/11/2024,Response time is typically 2 days
34,https://www.linkedin.com/jobs/view/4026929450/,4026929450,Senior Data Analyst - Solution Engineer,https://www.linkedin.com/company/my-traffic/,13224055,https://media.licdn.com/dms/image/v2/D4E0BAQEulB2SHvsiZg/company-logo_400_400/company-logo_400_400/0/1718268771816/my_traffic_logo?e=1740614400&v=beta&t=ZMGhUAAl25L5QBRueZkSkkYvFvRwGEnqmPNdN5EqujQ,MyTraffic,"Paris, Île-de-France, France",Hybrid,21/11/2024,
35,https://www.linkedin.com/jobs/view/4071132457/,4071132457,Data Analyst / Data Engineer,https://www.linkedin.com/company/listen-too/,5369020,https://media.licdn.com/dms/image/v2/D4E0BAQGTK-8BEO95UQ/company-logo_400_400/company-logo_400_400/0/1688194492144/listen_too_logo?e=1740614400&v=beta&t=S13z-l9B5P6PZhKr4KLesAmpPCz0vfwkRcSSU60VGiU,Listen too,"Nantes, Pays de la Loire, France",Hybrid,07/11/2024,1 school alum works here
36,https://www.linkedin.com/jobs/view/4079759071/,4079759071,Data Analyst IoT,https://www.linkedin.com/company/meritis/,2046490,https://media.licdn.com/dms/image/v2/C4D0BAQFQjoAKUssKpg/company-logo_400_400/company-logo_400_400/0/1630461486849/meritis_logo?e=1740614400&v=beta&t=ZRe8zq9NFje_RsQbFnygdY2kSMwuOzRw4YrHPOhZn7E,MERITIS,"Île-de-France, France",Hybrid,21/11/2024,Applicant review time is typically 4 days
37,https://www.linkedin.com/jobs/view/3984527793/,3984527793,Data Analyst - Data Engineer Dataiku H/F,https://www.linkedin.com/company/lincoln-/,3178052,https://media.licdn.com/dms/image/v2/D4D0BAQFeB3trnvEzdw/company-logo_400_400/company-logo_400_400/0/1730300454805/lincoln__logo?e=1740614400&v=beta&t=tdLul3CXeJjkIAG-SD9pkuSxskEfx1Xdz0w8YMKc8sk,Lincoln France,"Île-de-France, France",Hybrid,18/11/2024,Response time is typically 4 days
38,https://www.linkedin.com/jobs/view/4053345349/,4053345349,Stage – Ingénieur(e) Analyste de données de Test F/H,https://www.linkedin.com/company/expleo-group/,26684491,https://media.licdn.com/dms/image/v2/D4E0BAQHnqiQfKJutLQ/company-logo_400_400/company-logo_400_400/0/1719827391544/expleo_group_logo?e=1740614400&v=beta&t=NxvY9QcAiSqD6QFGcqkR_4K7KslVlhb6pNV4mmkSnMc,Expleo Group,"Yvelines, Île-de-France, France",Hybrid,09/11/2024,2 school alumni work here
39,https://www.linkedin.com/jobs/view/4072735512/,4072735512,Data Flow Business Analyst,https://www.linkedin.com/company/ceva-logistics/,8434,https://media.licdn.com/dms/image/v2/D4E0BAQEijsVtwiqPMA/company-logo_400_400/company-logo_400_400/0/1704470004517/ceva_logistics_logo?e=1740614400&v=beta&t=nBQ2h6tJwMPjPs9EukjGsqAyje5aTgDMWRNVl9R_2WA,CEVA Logistics,"Puteaux, Île-de-France, France",Hybrid,12/11/2024,
40,https://www.linkedin.com/jobs/view/4079782626/,4079782626,Data analyst (F/H),https://www.linkedin.com/company/synchrone-fr/,123066,https://media.licdn.com/dms/image/v2/D4E0BAQHHRje3JCqQyg/company-logo_400_400/company-logo_400_400/0/1664454057130/synchrone_fr_logo?e=1740614400&v=beta&t=INu23kWgNZl5O9otV7US-1f6kFqPAYcy9BTesUeGYy8,Synchrone Fr,"Lille, Hauts-de-France, France",Hybrid,21/11/2024,1 connection works here
41,https://www.linkedin.com/jobs/view/4028662885/,4028662885,Quantitative Researcher,https://www.linkedin.com/company/ravenpack/,552310,https://media.licdn.com/dms/image/v2/C510BAQFDlEaqfrxpEA/company-logo_400_400/company-logo_400_400/0/1631388645051?e=1740614400&v=beta&t=l3XNDuaMSobo8KrLRpdhilWTyXUXXgF9uLXMLt8H-OU,RavenPack,"Paris, Île-de-France, France",Hybrid,25/11/2024,
42,https://www.linkedin.com/jobs/view/4073840000/,4073840000,Data analyst | Deals (M&A) | CDI | H/F,https://www.linkedin.com/company/pwc-france/,3230748,https://media.licdn.com/dms/image/v2/D4E0BAQGTzzm8snkfQQ/company-logo_400_400/company-logo_400_400/0/1720002580657/pwc_france_logo?e=1740614400&v=beta&t=_cP2qLnPW-iGbLzNkb5uKwxhwThBmBq7FNefdLzCPP0,PwC France,"Lyon, Auvergne-Rhône-Alpes, France",Hybrid,11/11/2024,2 school alumni work here
43,https://www.linkedin.com/jobs/view/4074717580/,4074717580,Business Data Analyst - Chambéry,https://www.linkedin.com/company/compagnie-des-alpes/,35874,https://media.licdn.com/dms/image/v2/C4D0BAQH_xMJFD49Utg/company-logo_400_400/company-logo_400_400/0/1630574792896/compagnie_des_alpes_logo?e=1740614400&v=beta&t=AjwIjZH2Xok0oyEC3LgtnkCE72fIghpbJh74ZUHKIn8,Compagnie des Alpes,"Chambéry, Auvergne-Rhône-Alpes, France",Hybrid,12/11/2024,
44,https://www.linkedin.com/jobs/view/4077187840/,4077187840,Data Analyst senior (H/F),https://www.linkedin.com/company/littlebigcode/,12624151,https://media.licdn.com/dms/image/v2/C4D0BAQFXYZOJ5SCzfw/company-logo_400_400/company-logo_400_400/0/1630555732722?e=1740614400&v=beta&t=N2q94o398A0fKdeBUYMo0-TB9PVuxhL1DFifPOgnvpo,LittleBigCode,"Paris, Île-de-France, France",Hybrid,18/11/2024,Response time is typically 4 days
45,https://www.linkedin.com/jobs/view/4082892049/,4082892049,Senior Biostatistician,https://www.linkedin.com/company/life-science-people/,66260937,https://media.licdn.com/dms/image/v2/D4E0BAQHYKXdN1YdnIg/company-logo_400_400/company-logo_400_400/0/1664439728534/life_science_people_logo?e=1740614400&v=beta&t=5msKm9YVxenNkQK5v6I1-gXxjP1KO0JOTe1CnahO0RU,Life Science People,"Paris, Île-de-France, France",Hybrid,26/11/2024,
46,https://www.linkedin.com/jobs/view/4041986973/,4041986973,Data Analyst,https://www.linkedin.com/company/holis-co/,81703878,https://media.licdn.com/dms/image/v2/D4E0BAQH-MyEUNaXA4w/company-logo_400_400/company-logo_400_400/0/1698662663554/holis_co_logo?e=1740614400&v=beta&t=Fb29hWWAaE2DWnYPPhGi7mYhS_BZ2XIiKvi12GqkSqI,Holis.co,"Paris, Île-de-France, France",Hybrid,05/11/2024,
47,https://www.linkedin.com/jobs/view/4079950818/,4079950818,RWE Lead Biostatistician,https://www.linkedin.com/company/proclinical-staffing/,228650,https://media.licdn.com/dms/image/v2/C4E0BAQFCMK64rie4wg/company-logo_400_400/company-logo_400_400/0/1630586592438/proclinical_logo?e=1740614400&v=beta&t=fXwArbf5qA9IO-m90EEYSunYwx9WXkNxlQlajD-SAdk,Proclinical Staffing,"Paris, Île-de-France, France",Remote,19/11/2024,
48,https://www.linkedin.com/jobs/view/4078644391/,4078644391,Lead Data Analyst,https://www.linkedin.com/company/sant-vet/,3107140,https://media.licdn.com/dms/image/v2/C4E0BAQFDGv0y7z6cgw/company-logo_400_400/company-logo_400_400/0/1669703634694?e=1740614400&v=beta&t=S-pWtCWWFXsWNJ0-BGrrO6VmnFzX7fIt2enBx5AnwqM,Santévet,"Lyon, Auvergne-Rhône-Alpes, France",Hybrid,20/11/2024,1 connection works here
49,https://www.linkedin.com/jobs/view/4073832995/,4073832995,Data analyst | Deals (M&A) | CDI | H/F,https://www.linkedin.com/company/pwc-france/,3230748,https://media.licdn.com/dms/image/v2/D4E0BAQGTzzm8snkfQQ/company-logo_400_400/company-logo_400_400/0/1720002580657/pwc_france_logo?e=1740614400&v=beta&t=_cP2qLnPW-iGbLzNkb5uKwxhwThBmBq7FNefdLzCPP0,PwC France,"Neuilly-sur-Seine, Île-de-France, France",Hybrid,11/11/2024,2 school alumni work here
50,https://www.linkedin.com/jobs/view/4075585825/,4075585825,Data Analyst Senior (F/H),https://www.linkedin.com/company/groupe-la-centrale/,67922339,https://media.licdn.com/dms/image/v2/D4E0BAQGvR1WKWUBUZw/company-logo_400_400/company-logo_400_400/0/1708596274010/groupe_la_centrale_logo?e=1740614400&v=beta&t=MTH8MZpS2ES-4grBI5NAsPs7xKz2veAuTcHdJpkWYXg,Groupe La Centrale,"Paris, Île-de-France, France",Hybrid,13/11/2024,2 school alumni work here
51,https://www.linkedin.com/jobs/view/4062276064/,4062276064,Quantitative Analyst,https://www.linkedin.com/company/edf-trading/,15901,https://media.licdn.com/dms/image/v2/C510BAQHgBveFZviaug/company-logo_400_400/company-logo_400_400/0/1631340576013?e=1740614400&v=beta&t=S7P3nKtshydJu7pBnIpOdJuZF2QbCZbhLP6PNJ6IFtM,EDF Trading,"Paris, Île-de-France, France",Hybrid,15/11/2024,
